ma_aut_year,ma_id,ma_e_id,source,chemical_class,chemical_s,chemical_id,health_outcome_type,ICD11_code,health_outcome_class,health_outcome_group,health_outcome_comment,biomarker,model,model_comment,variance_estimate_method,ma_es_measure,,number_effects,ma_point_estimate,ma_l_ci,ma_u_ci,heterogeneity
ingber_2013,ma_001,ma_m_001,fig2a,OCP,one,DDE,breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,15,0.901,0.749,1.084,NA
ingber_2013,ma_001,ma_m_002,fig2b,OCP,one,DDE,breast cancer,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,29,1.107,0.978,1.252,NA
park_2016,ma_002,ma_m_003,fig2,OCP,one,"p,p'-DDE",hypertension,2C6Z ,Malignant neoplasms,Neoplasms,"Malignant neoplasms of breast, unspecified",clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,6,1.1,1.03,1.18,0
canosancho_2017,ma_003,ma_m_004,fig3,OCP,one,"p,p'-DDE",BMI,5B81.00,Nutritional disorders,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,not reported,? (regression coefficient) value,,8,0.13,0.01,0.25,39.5
fu_2020,ma_004,ma_m_005,fig4,OCP,one,"p,p'-DDE",cardiovascular disease,BE2Z,"Diseases of the circulatory system, unspecified",Diseases of the circulatory system,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,11,1.2,1.08,1.34,53.5
fu_2020,ma_004,ma_m_006,fig4,OCP,one,HCB,cardiovascular disease,BE2Z,"Diseases of the circulatory system, unspecified",Diseases of the circulatory system,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,7,1.06,0.89,1.27,45.1
fu_2020,ma_004,ma_m_007,fig4,OCP,one,beta-HCH,cardiovascular disease,BE2Z,"Diseases of the circulatory system, unspecified",Diseases of the circulatory system,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,6,1,0.69,1.46,87.5
hernandezmariano_2020,ma_005,ma_m_008,fig3a,OCP,one,"p,p'-DDE",type 2 diabetes,5A11,Type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,8,1.44,1,2.07,44.4
hernandezmariano_2020,ma_005,ma_m_009,fig5,OCP,one,"p,p'-DDE",hypertension,BA00.Z,"Essential hypertension, unspecified",Diseases of the circulatory system,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,4,1.21,1.07,1.38,9.3
tang_2014,ma_006,ma_m_010,fig2c,OCP,one,"p,p'-DDE",type 2 diabetes,5A11,Type 2 diabetes mellitus,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,DerSimonian and Laird,OR (odds ratio),,22,1.33,1.15,1.54,25
sun_2022,ma_007,ma_m_011,fig2,OCP,multiple,combined ocp,thyroid function,KB62.Y,Other specified transitory neonatal disorders of thyroid function,"Endocrine, nutritional or metabolic diseases",in neonates,clinical disease endpoint,random effects model,,DerSimonian and Laird,? (regression coefficient) value,,29,0,-0.02,0.02,0
stratakis_2021,ma_008,ma_m_012,fig2a,OCP,one,DDE,BMI,5B81.00,Nutritional disorders,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,not reported,? (regression coefficient) value,,10,0.12,0.03,0.21,28.15
stratakis_2021,ma_008,ma_m_013,fig2c,OCP,one,HCB,BMI,5B81.00,Nutritional disorders,"Endocrine, nutritional or metabolic diseases",,clinical disease endpoint,random effects model,,not reported,? (regression coefficient) value,,5,0.31,0.09,0.53,31.88
luo_2016,ma_009,ma_m_014,fig2,OCP,one,DDT,non-Hodgkin lymphoma,2B33.5,"Malignant lymphoma, not elsewhere classified",Neoplasms,,clinical disease endpoint,random effects model,,not reported,OR (odds ratio),,5,1.02,0.81,1.28,0
