key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1268390688,"Investigations on the State of Pops in Ghana, and Human Biomonitoring of Dioxin-like Polychlorinated Biphenyls (Dlpcbs), Polychlorinated, Polybrominated and Mixed Halogenated Dibenzo-p-Dioxins and Furans (PCDD/Fs, PBDD/Fs, and PXDD/Fs) in Vulnerable Ghanaian Populations",2019,1,1,,,,,,"Bruce-Vanderpuije, Pennante Naa Ayikailey",, English,,,"The protection of human health and the environment, from persistent organic pollutants (POPs) is the major objective of the Stockholm Convention. However, in developing countries such as Ghana- one of the top pesticide users and highest POP emitters in sub-saharan Africa. Although the focus has primarily been on determination of organochlorine pesticides (OCPs) and polychlorinated biphenyls (PCBs) in environmental matrices, there is limited information on how POP concentrations have changed, post ratification of the Stockholm Convention. In addition, human exposure data, on dioxins and dioxin-like compounds (DLCs)- one of the toxic classes of POPs in Ghana are limited. The purposes of this research were to: 1) Identify considerations for future research prioritization based on knowledge gaps from previously completed studies by collating available data that reported on POPs in Ghana. 2) Identify spatial and temporal POP trends in Ghana, and establish potential health risks 3) Quantify background concentrations of dioxins and DLCs in sera of primiparous Ghanaians, and in breastmilk of Ghanaian lactating mothers, in addition to infant dietary exposure to dioxins and DLCs in breastmilk. The dissertation is divided into two main sections: The first part presents a comprehensive and systematic review on the Stockholm POPs previously studied in Ghana to date. The second part focuses on the use of modified analytical sample preparation methods and instrumentations to determine background concentrations of dioxins and DLCs in Ghanaian human tissues, using gas chromatography with atmospheric pressure chemical ionization-tandem mass spectrometry (GC-APCI-MS/MS) in Ghanaian human tissues. The first part of this work entails a systematic and comprehensive review of data on sample collection, preparation and analytical methods from previous studies undertaken on the Stockholm POPs in Ghana, since 2001. A review was conducted on POPs in different matrices: environmental and humans, a comparison of concentration against relevant health criteria, and a discussion on spatial and temporal trends. The purposes of this work were to determine whether POPs were increasing or decreasing in the Ghanaian environment, and to ascertain knowledge gaps in data, as the focus has heavily been on the environment, with limited/sporadic studies in humans. This review identified a need to assess exposures to toxic classes of POPs in vulnerable populations, including lactating mothers, pregnant women, and occupationally exposed workers. Results obtained from data analyses of previous studies showed concentrations in excess of United States Environmental Protection Agency (USEPA) regulatory standards for per- and poly-fluoroalkyl sulphonates (PFASs) and dichlorodiphenyldichloroethane (DDD) in water, polychlorinated and polybrominated dibenzo-p-dioxins and dibenzofurans (PCDD/Fs and PBDD/Fs) in e-waste soils, and polybrominated diphenyl ethers (PBDEs) in aquatic organisms and dairy products. The published studies do not cover major regions nationwide. The inconsistency in methods and analytes measured, along with data scarcity in some regions, makes it challenging to identify temporal trends. However, decreasing concentrations of some legacy POPs in soil/sediment and aquatic organisms, with increasing concentrations of some POPs were reported in water, fish, fruits and vegetables. Studies that performed health risk assessments were limited although environmental and human data indicated elevated health risks to e-waste workers, some farmers and vulnerable sub-populations. This review identified potential human health risks from POPs in the Ghanaian environment and the need for more consistent and widespread monitoring program. Following recommendations from the first part of this research, the second part focuses on assessing Ghanaian human exposure to some of the toxic classes of POPs including dioxins and DLCs. An analytical sample separation method was developed that can be used for determination of low, background concentrations of dioxins and DLCs in human serum and breastmilk. Previously established methods utilized multiple fractionation steps and clean-up procedures on expensive equipment, such as the Power-prep sample clean-up instrument. Thus, a manual sample extraction and clean-up method for analysis of low level DLCs in breastmilk and serum was developed for application in developing. The target analytes included detection of 17 congeners of polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/Fs), 12 congeners of 8 mono-ortho and 4 non-ortho coplanar or dioxin-like PCBs (dlPCBs), 7 congeners of polybrominated dibenzo-p-dioxins and dibenzofurans (PBDD/Fs), and 7 congeners of mixed halogenated dibenzo-p-dioxins and furans (PXDD/Fs, where X=Br or Cl). Method validation was completed on the National Institute of Standards and Technology (NIST) Standard Reference Material 1958 (NIST 1958) serum samples. The analytical method provided for low limits of detection (LODs) in the femtogram levels (fg), with analytes recoveries ranging between 41.8-129.9 % for the classes of POPs studied (dlPCBs, PCDD/Fs, PBDD/Fs and PXDD/Fs) in both serum and breastmilk samples. (Abstract shortened by ProQuest.)","RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""}",,Humanities;Humanism;Humans;Furans;Ghana,NA,
rayyan-1268390691,Investigating the Relationship between Modifiable Environmental Risk Factors and Incidence of Colorectal Cancer: A Community Based Study,2012,1,1,,,,,,"Sritharan, Jeavana",, English,,,"Colorectal cancer is the third most diagnosed cancer and second leading cause of cancer related deaths in Canada. As Ontario has the largest population in Canada, it also has great disparities in colorectal cancer incidence. The region of Timiskaming has the highest incidence for colorectal cancer, while the region of Peel has the lowest incidence for colorectal cancer in Ontario. The purpose of this study is to identify the dominant non-nutritional modifiable environmental risk factors in the region of Timiskaming compared to the region of Peel that may be associated with diverging colorectal cancer incidence rates. The three objectives of the study included performing a systematic review on available published literature, creating an assessment questionnaire tool regarding environmental exposures, and utilizing the questionnaire assessment tool within a pilot study group while expanding it into the communities of interest. Findings indicate that there are dominant non-nutritional modifiable environmental risk factors in the regions of Timiskaming and Peel that may be associated with colorectal cancer. The dominant factors identified are tobacco/smoking, alcohol use, pesticides/organochlorines, and metal toxins. Following this study, it is imperative that recommendations are directed at a community level and relate to the assessment of potential non-nutritional modifiable environmental risk factors. Future research should accompany a larger sample size, multiple participant communities, and catering of the questionnaire tool towards the communities of interest. Key words: colorectal cancer, environmental risk factors, community based research","RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""}",,Colorectal Neoplasms;Risk Factors,NA,
rayyan-1268390694,"Comprehensive analysis, Henry's law constant determination, and photocatalytic degradation of polychlorinated biphenyls (PCBs) and/or other persistent organic pollutants (POPs).",2007,1,1,,0419-4217,69,1,,"Lee, Furrina Fang",, English," University Microfilms International, P.O. Box 1764, Ann Arbor, MI, 48106, USA",,"A method for the congener-specific analysis of multiple classes of persistent organic pollutants (POPs) has been developed. It consists of high-speed blending extraction, automated FMS cleanup/fractionation or GPC-Florisil cleanup, and final determination by gas chromatography and mass spectrometry (GC-MS). Fifty-five 13 C(12)- or 2 H-labeled compounds were used as surrogates to evaluate the analytical efficiency. Proper polychlorinated biphenyl (PCB) and polybrominated biphenyl (PBB) congeners were used as internal standards to monitor the GC performance. Potential GC-MS chromatographic interferences were studied. The method was demonstrated to be reproducible, effective, and reliable and was applied successfully to determine POP concentrations in northwestern Atlantic harbor seal (Phoca vitulina concolor) blubber samples. PCBs and organochlorine pesticides (OCPs) account for more than 95% of the POP contamination, while non-ortho- and mono-ortho- substituted PCBs are the principal contributors to the total toxic equivalents (TEQs) in seal blubber. Four non-ortho- and eight mono-ortho-substituted PCBs are potent inducers of hepatic aryl hydrocarbon hydroxylase (AHH). Therefore, evaluation of their environmental behaviors in terms of their physicochemical characteristics, such as Henry's Law constant (HLC), is very important. A modified gas purging technique was used to determine HLCs for these 12 PCBs. Measured HLCs range from 5.6 to 21.8 Pa*m 3 /mol and they are comparable with literature values. Meta-analysis technique and principal component regression (PCR) was applied to model the relationship between experimentally-determined HLCs for 97 PCBs and the congeners'structures. Results suggest that HLCs for PCB are primarily affected by meta-chlorine substitution and chlorine substitution on the biphenyl ring generally leads to smaller HLCs. The PCR-predicted HLCs are in good agreement with the experimental values and the predicted HLCs by a complicated partial least-square regression (PLSR) model using the molecular connectivity index as predictor. Finally, photocatalytic degradation of 4,4'-dichlorobiphenyl was conducted in the TiO(2) aqueous suspensions. 4,4'-dichlorobiphenyl degradation follows the Langmuir-Hinshelwood kinetic model. Three hydroxylated byproducts, 4,4'-dichloro-2-biphenyl-ol, 4-chloro-4'-bipenyl-ol, and 4,4'-dichloro-3-biphenyl-ol were identified and they underwent further photocatalytic decomposition. Kinetic modeling indicates that hydroxylation is the major pathway for PCB decomposition by UV/TiO(2). A sketch of the reaction pathways for 4,4'-dichlorobiphenyl based on the byproducts formed has been proposed.","RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe"", ""Ayumi""=>""Excluded""}",,"",NA,
rayyan-1268390709,Metabolic Signatures of Youth Exposure to Mixtures of Per- and Polyfluoroalkyl Substances: A Multi-Cohort Study,2023,2,NA,ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,131,2,,"Goodrich, Jesse A. and Walker, Douglas I. and He, Jingxuan and Lin, Xiangping and Baumert, Brittney O. and Hu, Xin and Alderete, Tanya L. and Chen, Zhanghua and Valvi, Damaskini and Fuentes, Zoe C. and Rock, Sarah and Wang, Hongxu and Berhane, Kiros and Gillil and , Frank D. and Goran, Michael I. and Jones, Dean P. and V. Conti, David and Chatzi, Leda",,,,,"BACKGROUND: Exposure to per-and polyfluoroalkyl substances (PFAS) is ubiquitous and has been associated with an increased risk of several cardio-metabolic diseases. However, the metabolic pathways linking PFAS exposure and human disease are unclear. OBJECTIVE: We examined associations of PFAS mixtures with alterations in metabolic pathways in independent cohorts of adolescents and young adults.METHODS: Three hundred twelve overweight/obese adolescents from the Study of Latino Adolescents at Risk (SOLAR) and 137 young adults from the Southern California Children's Health Study (CHS) were included in the analysis. Plasma PFAS and the metabolome were determined using liquid-chromatography/high-resolution mass spectrometry. A metabolome-wide association study was performed on log-transformed metabolites using Bayesian regression with a g-prior specification and g-computation for modeling exposure mixtures to estimate the impact of exposure to a mix-ture of six ubiquitous PFAS (PFOS, PFHxS, PFHpS, PFOA, PFNA, and PFDA). Pathway enrichment analysis was performed using Mummichog and Gene Set Enrichment Analysis. Significance across cohorts was determined using weighted Z-tests.RESULTS: In the SOLAR and CHS cohorts, PFAS exposure was associated with alterations in tyrosine metabolism (meta-analysis p = 0.00002) and de novo fatty acid biosynthesis (p = 0.03), among others. For example, when increasing all PFAS in the mixture from low ( 30th percentile) to high ( 70th percentile), thyroxine (T4), a thyroid hormone related to tyrosine metabolism, increased by 0.72 standard deviations (SDs; equivalent to a standardized mean difference) in the SOLAR cohort (95\% Bayesian credible interval (BCI): 0.00, 1.20) and 1.60 SD in the CHS cohort (95\% BCI: 0.39, 2.80). Similarly, when going from low to high PFAS exposure, arachidonic acid increased by 0.81 SD in the SOLAR cohort (95\% BCI: 0.37, 1.30) and 0.67 SD in the CHS cohort (95\% BCI: 0.00, 1.50). In general, no individual PFAS appeared to drive the observed associations. DISCUSSION: Exposure to PFAS is associated with alterations in amino acid metabolism and lipid metabolism in adolescents and young adults. https:// doi.org/10.1289/EHP11372","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Included""}",10.1289/EHP11372,Cohort Studies;Adolescent,NA,
rayyan-1268390710,"Age at menarche and chemical exposure: per- and polyfluoroalkyl substances (PFAS), dichloro-diphenyl-trichloroethane (DDT), dichloro-diphenyl-dichloroethylene (DDE), and polychlorinated biphenyls (PCBs)",2023,1,NA,ANNALS OF HUMAN BIOLOGY,0301-4460,50,1,282-292,"Schell, Lawrence M. and West, Casey N.",,,,,"Context Humans are now exposed to a multitude of chemicals throughout the life course, some of which may affect growth and development owing to their endocrine-like activity. Objective To assess the relationship of suspect toxicants to maturation, specifically to age at menarche. Methods We conducted two systematic reviews of age at menarche and PFOA, PFOS, PCBs and DDE/DDT based on publications indexed by pubmed. Results 16 unique reports were identified. Most studies of PFOA and PFOS reported either no association or delays in the age at menarche; only one reported an earlier age. Studies of DDT and DDE were more mixed. Reports on PCBs varied by PCB congener group with an equal number of them reporting delays and no association but one an acceleration. Sources of variation in results include the timing of exposure assessment (prenatal vs. postnatal), level of the toxicant, and sample size. No obvious pattern to the variation in results could be tied to those sources of variation. Conclusion The absence of consistent evidence from multiple reports of earlier age at menarche suggests that these toxicants may not be responsible for accelerated sexual maturation in girls. However, human populations naturally vary in the variety and levels of exposure, making the comparison of studies difficult. Further, studies vary in methodology, complicating aggregation of results and generalisations.","RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""}",10.1080/03014460.2023.2221039,"",NA,
rayyan-1268390712,Perfluoroalkyl substances and lipid concentrations in the blood: A systematic review of epidemiological studies,2022,12,NA,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,850,,,"Ho, Soon Hoe and Soh, Stacy Xin Hui and Wang, Min Xian and Ong, Janet and Seah, Annabel and Wong, Yvonne and Fang, Zhanxiong and Sim, Shuzhen and Lim, Jue Tao",,,,,"Background: Perfluoroalkyl substances (PFAS) are widely used synthetic aliphatic compounds. This systematic review aims to assess PFAS associations with low-density lipoprotein cholesterol (LDL), high-density lipoprotein cholesterol (HDL), total cholesterol (TC) and total triglyceride (TG) concentrations in human populations.Method: We systematically searched four online databases, PubMed, Scopus, Embase, and Cochrane Library for rele-vant peer-reviewed English language articles published until July 2021. Additional relevant articles identified were also included in the search results. We categorised populations into adults (>= 18 years old) and children. Primary find-ings were the associations between PFAS concentrations and LDL, HDL, TC, and TG concentrations in the serum, plasma, or whole blood; secondary findings were the associations between PFAS concentrations and the odds of lipid-related health outcomes. Quantitative synthesis was done by vote counting of the effect directions between con-centrations of PFAS and lipids/health outcomes, repeated on articles with sample size >1000. Sign tests were per-formed to assess the statistical significance of the differences between positive and negative associations. Sensitivity analysis was performed by separating out articles with populations having high concentrations of perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS). Quality was assessed with the STROBE checklist and NHBLI Study Quality Assessment Tool.Results: A total of 58 articles were included for review. There was evidence that PFAS exposure is associated with higher concentrations of LDL, HDL, and TC, particularly for PFOA-LDL, PFOA-TC, PFOS-TC, and PFNA-LDL. Associa-tions between PFAS and TG tended to be negative, especially for perfluoroundecanoic acid (PFUnDA). Associations between PFAS concentration and the odds of secondary outcomes generally supported a positive association between PFAS and cholesterol concentrations.Conclusion: We found evidence of associations between the concentrations of some PFAS-lipid pairs in human popula-tions. Future research should be conducted on the less well-studied PFAS to explore their effects on human health and in regions where such studies are currently lacking. (300 words)","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""}",10.1016/j.scitotenv.2022.158036,"",NA,
rayyan-1268390714,Integration of life cycle assessment and system dynamics modeling for environmental scenario analysis: A systematic review,2023,12,NA,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,903,,,"Yi, Yanqing and Wu, Junzhang and Zuliani, Filippo and Lavagnolo, Maria Cristina and Manzardo, Aless and ro",,,,,"As alternatives to perfluorooctane sulfonate (PFOS) with shorter carbon chains or lower proportion of fluorine atoms, perfluorobutane sulfonate (PFBS), perfluorohexane sulfonate (PFHxS), and 6:2 fluorotelomer sulfonic acid (6:2FTSA) have been detected in various environmental media. However, it is unclear whether the toxicity of these alternatives is lower than that of PFOS. Therefore, this study investigated the toxicity and differences in PFBS, PFHxS, 6:2FTSA, and PFOS (0.2 mg/kg) after 56 d of exposure using the common invertebrate Eisenia fetida in soil as the test organism. The results showed that although PFOS, PFBS, PFHxS, and 6:2FTSA induced oxidative stress and apoptosis in earthworms and led to developmental and reproductive toxicity in terms of comprehensive toxicity, PFHxS > PFOS > PFBS >6:2FTSA. To reveal the mechanisms underlying the differences in toxicity between the alternatives and PFOS, we conducted molecular docking and transcriptomic analyses. The results indicated that, unlike PFOS, PFBS, and PFHxS, 6:2FTSA did not cause significant changes in antioxidant offers a comprehensive understanding of product sustainability, aids decision-making, and enhances stakeholder engagement. The study also identifies knowledge gaps in the joint application of SD and LCA for environmental scenario analysis, suggesting the incorporation of optimization tools and strategy guidance for policy makers.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""}",10.1016/j.scitotenv.2023.166545,"",NA,
rayyan-1268390716,Residues of carcinogenic pesticides in food: a systematic review,2023,NA,NA,REVIEWS ON ENVIRONMENTAL HEALTH,0048-7554,,,,"Sadighara, Parisa and Mahmudiono, Trias and Marufi, Nilufar and Yazdanfar, Najmeh and Fakhri, Yadolah and Rikabadi, Ali Khalili and Khaneghah, Amin Mousavi",,,,,"Most agricultural products are exposed to pesticides. Organochlorine (OCPs) insecticides have been banned for years due to their persistence in the environment and lipophilic properties. On the other hand, some carcinogenic organophosphates are used in high amounts. Therefore, this systematic review was performed with the keywords; pesticide, carcinogenic, carcinogen, residue, contamination, pollution, and food to determine the type of food and pesticide. 663 manuscripts were found by searching in databases. After initial screening and quality assessment of full text, 26 manuscripts were selected. In this study, by reviewing selected manuscripts, about 13 pesticides were associated with carcinogenic effects. These pesticides were Chlorothalonil, Glyphosate, Tetrachlorvinphos, Parathion, Malathion, Diazinon, heptachlor, Hexachlorobenzene, aldrin, dieldrin, DDT, chlordane, Lindane. Most of these pesticides were organochlorine. The organochlorine pesticides are primarily detected in foods of animal origin. In some studies, the amount of carcinogenic organochlorine was higher than the permissible levels. From the carcinogenic herbicide, Glyphosate. An important finding of this systematic review is that carcinogenic organochlorines are still a threat to cancer incidence.","RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""}",10.1515/reveh-2022-0253,Pesticides;Carcinogens,NA,
rayyan-1268390721,"Occurrence, mass loading, and post-control temporal trend of legacy perfluoroalkyl substances (PFASs) in the middle and lower Yangtze River",2024,2,NA,MARINE POLLUTION BULLETIN,0025-326X,199,,,"Li, Jie and Liang, Enhang and Xu, Xuming and Xu, Nan",,,,,"Present study focused on per- and polyfluoroalkyl substances (PFASs) occurrence in dry and wet seasons in the middle and lower Yangtze River (YZR) and changing temporal trends after years of control. Results revealed that perfluorooctanoic acid (PFOA) was 75 \% of total PFAS concentrations (Sigma(11)PFASs). Sigma(11)PFASs were ranged 0.20-28.49 ng/L and 1.17-112.84 mu g/kg in water and sediment. The logK(oc) of perfluoroalkyl carboxylic acids was positive with the carbon chain length (p < 0.05, r(2) = 0.78). A meta-analysis of results from 16 peer-reviewed publications about PFASs in the YZR showed that fluorochemical industries strongly influenced the high PFAS levels in the detected scenes. PFOA was still the primary pollutant. Individual PFAS in the lower reach was higher than those in the middle reach. The mass loading of PFASs imported into the sea was 10.80 t/y. This study will help develop effective approaches for controlling emerging pollutants in the YZR.","RAYYAN-INCLUSION: {""Lorenzo""=>""Maybe"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.marpolbul.2023.115966,"",NA,
rayyan-1268390722,Profiling research on PFAS in wildlife: Systematic evidence map and bibliometric analysis,2024,1,NA,ECOLOGICAL SOLUTIONS AND EVIDENCE,,5,1,,"Vendl, Catharina and Taylor, Matthew D. and Braunig, Jennifer and Ricolfi, Lorenzo and Ahmed, Radiah and Chin, Maegan and Gibson, Matthew J. and Hesselson, Daniel and Neely, G. Gregory and Lagisz, Malgorzata and Nakagawa, Shinichi",,,,,"Per- and polyfluoroalkyl substances (PFAS) are a large group of synthetic chemicals that have been in use for over 70 years. Their ubiquitous distribution and harmful effects pose a threat to wildlife worldwide. To provide a comprehensive synopsis and show the gaps and gluts of existing research on PFAS exposure in wildlife, we created a systematic map and bibliographic analysis of the literature. We followed our protocol to conduct a systematic literature search on Scopus, Web of Science and five other databases. In two steps (title/abstract/keywords and full-text), we screened peer-reviewed empirical articles, preprints and theses in English that studied the concentration of at least one of 34 PFAS compounds in free-ranging wildlife or their parts/products. Following the protocol, we extracted data and performed a critical appraisal. We included 581 publications. From the first and only paper in 2001, there was a linear annual increase to 54 papers in 2021. While PFOS (97\% of studies), PFOA (91\%) and long-chain PFAS in general were the most measured, few studies investigated new-generation PFAS (e.g. GenX and ADONA). Across the studied 1042 species from 26 taxonomic classes, the most frequent were the common carp (Cyprinus carpio, 8\%), polar bear (Ursus maritimus, 6\%) and European perch (Perca fluviatilis, 5\%). Most sampling took place in the United States (17\%), Norway (13\%), Canada (12\%) and China (10\%), which were also the main publishing countries. Polar regions attracted significant research interest from countries all around the globe. Aquatic habitats (marine: 31\%, freshwater: 28\%) of temperate zones were the most common locations for sample collection. We encourage researchers to work towards closing the following gaps: investigating new-generation PFAS, assessing PFAS in mid- and low-income countries and performing more long-term studies, especially on invertebrates. We note the recent rise in studies on the physiological consequences of PFAS exposure and encourage further work on this crucial topic. Furthermore, we recommend that the statement of potential and actual conflicts of interest, and the provision of raw data and analysis code should be made compulsory by all journals and routinely enforced. This practice will mitigate conflict of interest and ensure reproducibility.","RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""}",10.1002/2688-8319.12292,Bibliometrics,NA,
