title,doi,notes,...4,keywords,pubmed_id,pmc_id,PDF files,exclusion_reason
"Investigations on the State of Pops in Ghana, and Human Biomonitoring of Dioxin-like Polychlorinated Biphenyls (Dlpcbs), Polychlorinated, Polybrominated and Mixed Halogenated Dibenzo-p-Dioxins and Furans (PCDD/Fs, PBDD/Fs, and PXDD/Fs) in Vulnerable Ghanaian Populations",NA,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Humanities;Humanism;Humans;Furans;Ghana,NA,NA,NA,meta-analytic estimate with variance not reported
Investigating the Relationship between Modifiable Environmental Risk Factors and Incidence of Colorectal Cancer: A Community Based Study,NA,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Colorectal Neoplasms;Risk Factors,NA,NA,NA,meta-analytic estimate with variance not reported
"Comprehensive analysis, Henry's law constant determination, and photocatalytic degradation of polychlorinated biphenyls (PCBs) and/or other persistent organic pollutants (POPs).",NA,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Metabolic Signatures of Youth Exposure to Mixtures of Per- and Polyfluoroalkyl Substances: A Multi-Cohort Study,10.1289/EHP11372,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Cohort Studies;Adolescent,NA,NA,NA,meta-analytic estimate with variance not reported
"Age at menarche and chemical exposure: per- and polyfluoroalkyl substances (PFAS), dichloro-diphenyl-trichloroethane (DDT), dichloro-diphenyl-dichloroethylene (DDE), and polychlorinated biphenyls (PCBs)",10.1080/03014460.2023.2221039,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Perfluoroalkyl substances and lipid concentrations in the blood: A systematic review of epidemiological studies,10.1016/j.scitotenv.2022.158036,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Integration of life cycle assessment and system dynamics modeling for environmental scenario analysis: A systematic review,10.1016/j.scitotenv.2023.166545,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Residues of carcinogenic pesticides in food: a systematic review,10.1515/reveh-2022-0253,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Pesticides;Carcinogens,NA,NA,NA,meta-analytic estimate with variance not reported
"Occurrence, mass loading, and post-control temporal trend of legacy perfluoroalkyl substances (PFASs) in the middle and lower Yangtze River",10.1016/j.marpolbul.2023.115966,"RAYYAN-INCLUSION: {""Lorenzo""=>""Maybe"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no study level identifiers",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Profiling research on PFAS in wildlife: Systematic evidence map and bibliometric analysis,10.1002/2688-8319.12292,"RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Bibliometrics,NA,NA,NA,meta-analytic estimate with variance not reported
Determinants of maternal and neonatal PFAS concentrations: a review,10.1186/s12940-023-00992-x,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Infant, Newborn",NA,NA,NA,meta-analytic estimate with variance not reported
Systematic Evidence Mapping of Potential Exposure Pathways for Per- and Polyfluoroalkyl Substances Based on Measured Occurrence in Multiple Media,10.1021/acs.est.2c07185,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-LABELS: tag for lorenzo | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
A plausibility database summarizing the level of evidence regarding the hazards induced by the exposome on children health,10.1016/j.ijheh.2023.114311,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Only Child;Child,NA,NA,NA,meta-analytic estimate with variance not reported
Public health evaluation of PFAS exposures and breastfeeding: a systematic literature review,10.1093/toxsci/kfad053,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: full text not available",NA,Breast Feeding,NA,NA,NA,full text not available
Mechanisms and pathways of PFAS degradation by advanced oxidation and reduction processes: A critical review,10.1016/j.cej.2022.138352,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Excluded""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Oxidation-Reduction,NA,NA,NA,meta-analytic estimate with variance not reported
Per- and polyfluoroalkyl substances (PFASs) in consumable species and food products,10.1007/s13197-022-05545-7,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
"Per- and polyfluoroalkyl substances, polychlorinated biphenyls, organochlorine pesticides, and polybrominated diphenyl ethers and dysregulation of MicroRNA expression in humans and animals-A systematic review",10.1016/j.envres.2023.117832,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""}| RAYYAN-EXCLUSION-REASONS",NA,Humanities;Humanism;Humans;Pesticides;Animals;Animal Shells;Ethers,NA,NA,NA,NA
Exposure to Organochlorine Pesticides and Female Breast Cancer Risk According to Molecular Receptors Expression: a Systematic Review and Meta-analysis of Epidemiological Evidence,10.1007/s40572-023-00408-5,"RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no study level identifiers",NA,Pesticides;Breast Neoplasms,NA,NA,NA,meta-analytic estimate with variance not reported
Exposure to pesticides during pregnancy and the risk of neural tube defects: A systematic review,10.1016/j.scitotenv.2023.169317,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Ayumi""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Neural Tube Defects;Pregnancy;Pesticides,NA,NA,NA,meta-analytic estimate with variance not reported
