key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1268390698,Associations between Per- and Polyfluoroalkyl Substances Exposures and Blood Lipid Levels among Adults-A Meta-Analysis,2023,5,NA,ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,131,5,,"Liu, Binkai and Zhu, Lu and Wang, Molin and Sun, Qi",,,,,"BACKGROUND: Associations between per-and polyfluoroalkyl substances (PFAS) and blood lipid levels in humans were mixed. OBJECTIVES: The objective of this meta-analysis was to summarize associations between PFAS and blood lipids in adults.METHODS: A literature search was conducted on PubMed and Web of Science for articles published through 13 May 2022 that examined associations between PFAS and blood lipids, including total cholesterol (TC), high-density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), and triacylglycerols (TGs). Inclusion criteria included the presence of associations between five PFAS (PFOA, PFOS, PFHxS, PFDA, and PFNA) and four blood lipid measures (TC, HDL-C, LDL-C, and TGs) in adults. Data on study characteristics and PFAS-lipid associations were extracted. Assessments of individual study quality were performed. Associations of changes of blood lipid levels corresponding to 1 interquartile range (IQR)-unit increase of blood PFAS levels were pooled using random effects models. Dose-response relationships were examined. RESULTS: Twenty-nine publications were included in the present analyses. Every IQR increase of PFOA was significantly associated with a 2.1-mg/dL increase in TC (95\% CI: 1.2, 3.0), a 1.3-mg/dL increase in TGs (95\% CI: 0.1, 2.4), and a 1.4-mg/dL increase in LDL-C (95\% CI: 0.6, 2.2). PFOS was also significantly associated with TC and LDL-C levels, and the corresponding values were 2.6 (95\% CI: 1.5, 3.6) and 1.9 (95\% CI: 0.9, 3.0), respectively. Associations of PFOS and PFOA with HDL-C levels were largely null. For minor PFAS species, PFHxS was significantly associated with higher levels of HDL-C {[}0.8 (95\% CI: 0.5, 1.2)]. Inverse associations were observed between PFDA and TGs {[}-5.0 (95\% CI: -8.1, -1.9)] and between PFNA and TGs {[}-1.7 (95\% CI: -3.5, -0.02)], whereas a positive association was observed between PFDA and HDL-C {[}1.4 (95\% CI: 0.1, 2.7)]. Nonsignificant nonlinear dose-response relationships were identified for associations of PFOA and PFOS with certain blood lipids.DISCUSSION: PFOA and PFOS were significantly associated with TC and LDL-C levels in adults. Whether these findings may translate into an ele-vated cardiovascular disease risk associated with PFAS exposure warrants further investigation. https://doi.org/10.1289/EHP11840","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1289/EHP11840,,NA,NA
rayyan-1268390699,Exposure to perfluoroalkyl and polyfluoroalkyl substances and risk of stroke in adults: a meta-analysis,2023,NA,NA,REVIEWS ON ENVIRONMENTAL HEALTH,0048-7554,NA,NA,,"Chang, Min Cheol and Chung, Seung Min and Kwak, Sang Gyu",,,,,"Introduction: Evidence of the adverse metabolic health effects of perfluoroalkyl and polyfluoroalkyl substances (PFAS) is increasing. However, the impact of PFAS on cardiovascular diseases remains controversial. This meta-analysis aimed to analyze the impact of PFAS on the stroke risk. Content: Databases were searched for studies published up to November 1, 2022, which report the association between stroke and exposure to at least one of four main PFAS (perfluorooctanoic acid {[}PFOA], perfluorooctanesulfonic acid {[}PFOS], perfluorononanoic acid {[}PFNA], and perfluorohexane sulfonic acid {[}PFHxS]). Data extraction and quality assessment were performed according to the Newcastle-Ottawa scale. Summary and outlook: Four studies were included in this systematic review. Multivariate adjusted odds ratios (ORs) for incident stroke per 1-log unit increment in each serum PFAS were combined in the meta-analysis. The risk of development of stroke was not significantly associated with PFOA, PFOS, or PFNA exposure (PFOA: pooled odds ratio {[}OR]=1.001, 95 \% confidence interval {[}CI]=0.975-1.028, p=0.752), whereas a moderately lower risk was associated with PFHxS exposure without statistical significance (pooled OR=0.953, 95 \% CI=0.908-1.001, p=0.054). PFOA, PFOS, and PFNA exposure showed a neutral association, while PFHxS showed a possible inverse association with the risk of stroke. Therefore, this finding should be interpreted with caution. Further prospective observational studies with PFAS mixture analyses are warranted.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1515/reveh-2023-0021,Stroke,NA,NA
rayyan-1268390700,Cross-sectional associations between exposure to per- and polyfluoroalkyl substances and body mass index among European teenagers in the HBM4EU aligned studies,2023,1,NA,ENVIRONMENTAL POLLUTION,0269-7491,316,1,,"Schillemans, Tessa and Iszatt, Nina and Remy, Sylvie and Schoeters, Greet and Fern and ez, Mariana F. and D'Cruz, Shereen Cynthia and Desalegn, Anteneh and Haug, Line S. and Lignell, Sanna and Lindroos, Anna Karin and Fabelova, Lucia and Murinova, Lubica Palkovicova and Kosjek, Tina and Tkalec, Ziga and Gabriel, Catherine and Sarigiannis, Denis and Pedraza-Diaz, Susana and Esteban-Lopez, Marta and Castano, Argelia and Rambaud, Loic and Riou, Margaux and Pauwels, Sara and Vanlarebeke, Nik and Kolossa-Gehring, Marike and Vogel, Nina and Uhl, Maria and Govarts, Eva and Akesson, Agneta",,,,,"Per-and polyfluoroalkyl substances (PFAS) are widespread pollutants that may impact youth adiposity patterns. We investigated cross-sectional associations between PFAS and body mass index (BMI) in teenagers/adolescents across nine European countries within the Human Biomonitoring for Europe (HBM4EU) initiative. We used data from 1957 teenagers (12-18 yrs) that were part of the HBM4EU aligned studies, consisting of nine HBM studies (NEBII, Norway; Riksmaten Adolescents 2016-17, Sweden; PCB cohort (follow-up), Slovakia; SLO CRP, Slovenia; CROME, Greece; BEA, Spain; ESTEBAN, France; FLEHS IV, Belgium; GerES V-sub, Germany). Twelve PFAS were measured in blood, whilst weight and height were measured by field nurse/physician or self-reported in ques-tionnaires. We assessed associations between PFAS and age-and sex-adjusted BMI z-scores using linear and logistic regression adjusted for potential confounders. Random-effects meta-analysis and mixed effects models were used to pool studies. We assessed mixture effects using molar sums of exposure biomarkers with toxicological/structural similarities and quantile g-computation. In all studies, the highest concentrations of PFAS were PFOS (medians ranging from 1.34 to 2.79 mu g/L). There was a tendency for negative associations with BMI z-scores for all PFAS (except for PFHxS and PFHpS), which was borderline significant for the molar sum of {[}PFOA and PFNA] and significant for single PFOA {[}beta-coefficient (95\% CI) per interquartile range fold change =-0.06 (-0.17, 0.00) and-0.08 (-0.15,-0.01), respectively]. Mixture assessment indicated similar negative associations of the total mixture of {[}PFOA, PFNA, PFHxS and PFOS] with BMI z-score, but not all compounds showed associations in the same direction: whilst {[}PFOA, PFNA and PFOS] were negatively associated, {[}PFHxS] associated positively with BMI z-score. Our results indicated a tendency for associations of relatively low PFAS concentrations with lower BMI in European teenagers. More prospective research is needed to investigate this potential relationship and its implications for health later in life.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.envpol.2022.120566,Adolescent;Cesarean Section;Body Mass Index,NA,NA
rayyan-1268390702,The Association of Hypertension with Perfluoroalkyl and Polyfluoroalkyl Substances,2023,11,NA,INTERNATIONAL HEART JOURNAL,1349-2365,64,6,1079-1087,"Yang, Jingxuan and Zhang, Kui and Shen, Chengchen and Tang, Peng and Tu, Shasha and Li, Jiangyun and Chen, Li and Yang, Wenxing",,,,,"Perfluoroalkyl and polyfluoroalkyl substance (PFAS) is a large group of fluorinated synthetic chemicals, e. perfluorodecanoic acid (PFDA), and perfluorononanoic acid (PFNA). Many epidemiological studies have found that PFAS exposure is associated with hypertension risk, but others possess a different opinion. Overall, the relationship between PFASs and hypertension risk remains controversial. We sought to conduct a systematic review and meta-analysis to clarify the association between PFAS exposure and human risk of hypertension.We conducted a meta-analysis based on population-involving studies published from 1975 to 2023, which we collected from Web of Science, PubMed, and Embase databases. The odds ratio (OR) and standardized mean difference (SMD), with their 95\% confidence interval (CI), were used to assess the risk of hypertension with PFAS exposure. The statistical heterogeneity among studies was assessed with the Q-test and I2 statistics. Research publications related to our meta-analysis topic were systematically reviewed.Fourteen studies involving 71,663 participants, in which 26,281 suffered hypertension, met the inclusion criteria. Our analyses suggest that exposure to general PFAS (OR = 1.09, 95\% CI = 1.04-1.14) or PFOS (OR = 1.17, 95\% CI = 1.05-1.30) is associated with hypertension risk. Specifically, elevated levels of general PFAS (SMD = 0.25, 95\% CI = 0.08-0.42), PFHxS (SMD = 0.17, 95\% CI = 0.07-0.27), and PFDA (SMD = 0.08, 95\% CI = 0.02-0.13) are associated with a high risk of hypertension.Our meta-analysis indicates that PFAS exposure is a risk factor for hypertension, and increased hypertension risk is associated with higher PFAS levels. Further study may eventually provide a better and more comprehensive elucidation of the potential mechanism of this association.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1536/ihj.23-036,Hypertension,NA,NA
rayyan-1268390703,Exposure to endocrine-disrupting chemicals and risk of gestational hypertension and preeclampsia: A systematic review and meta-analysis{*},2023,1,NA,ENVIRONMENTAL POLLUTION,0269-7491,317,NA,,"Hirke, Amol and Varghese, Bincy and Varade, Shruti and Adela, Ramu",,,,,"Prenatal exposure to endocrine-disrupting chemicals has been linked to gestational hypertension (GH) and preeclampsia (PE). However, the results were conflicting and inconclusive. We conducted a systematic review and meta-analysis for an overview of these relationships. We searched PubMed, and Google Scholar for studies investigating bisphenol A, phthalates, and per or poly-fluoroalkyl substances and GH or PE. Pooled odds ratio (OR) with a 95\% confidence interval (CI) were calculated for risk estimate using the generic inverse variance method. A total of 14 studies were included in the present analysis. The pooled results demonstrated that perfluorooctanoic acid (PFOA, OR:1.20, 95\% CI: 1.04, 1.39), perfluoro octane sulfonic acid (PFOS, (OR:1.23, 95\% CI: 1.10, 1.38), and perfluononanoic acid (PFNA, OR:1.20, 95\% CI: 1.03, 1.40) were significantly associated with an increased risk of PE. There was no significant association observed with perfluoro hexane sulfonic acid (PFHxS), perfluoro decanoic acid (PFDA), perfluoro heptanoic acid (PFHpA), and perfluoro undecanoic acid (PFUnDA) and PE. For GH, a statistically significant positive association was found with PFOA (OR:1.18, 95\% CI: 1.01, 1.39) and PFHxS (OR:1.15, 95\% CI: 1.02, 1.29). Among various phthalates analysed only mono-ethyl phthalate (MEP, OR:1.37, 95\% CI: 1.11, 1.70) showed an association with GH. From our analysis, bisphenol A exposure during pregnancy did not show a significant association with the risk of PE. Our findings indicated that exposure to PFASs such as PFOA, PFOS, and PFNA during pregnancy is associated with an increased risk of PE and PFOA and PFHxS with GH. We also found that MEP was associated with GH. Most of the results were unstable in sensitivity analysis. Since most of these associations have limited evidence, more research is needed to confirm these findings.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.envpol.2022.120828,Pregnancy;Pre-Eclampsia,NA,NA
rayyan-1268390704,The relationship between perfluoroalkyl substances and hypertension: A systematic review and meta-analysis,2023,9,NA,ENVIRONMENTAL RESEARCH,0013-9351,232,NA,,"Pan, Kai and Xu, Jie and Long, Xianping and Yang, Lilin and Huang, Zhiyu and Yu, Jie",,,,,"Hypertension is an important risk factor for cardiovascular diseases (CVDs) and a leading cause of premature death. Epidemiological studies have found that perfluoroalkyl substances (PFASs) are associated with hypertension. However, the correlation between PFASs and hypertension has not been systematically reported. Based on evidence from population epidemiological surveys, we conducted a meta-analysis following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines to assess the correlation between PFASs exposure and hypertension. In this study, three databases of PubMed, Web of science, Embase were searched and 13 literatures with 81,096 participants were included. Literature heterogeneity was evaluated by I2 statistic, and the random effect model (I2 > 50\%) and fixed effect model (I2 < 50\%) were used to combine the studies in meta-analysis. The results showed that PFNA (OR = 1.11, 95\% CI: 1.04-1.19), PFOA (OR = 1.12, 95\% CI: 1.02-1.23), PFOS (OR = 1.19, 95\% CI: 1.06-1.34) and PFHxS (OR = 1.03, 95\% CI: 1.00-1.06) were significantly associated with hypertension, while other types of PFASs ( n-ary sumation PFAS, PFDA, PFUnDA) had no statistical significance. In addition, PFNA (OR = 1.12, 95\% CI: 1.03-1.22), PFOA (OR = 1.12, 95\% CI: 1.01-1.25) and PFOS (OR = 1.12, 95\% CI: 1.00-1.25) exposure were positively correlated with the risk of hypertension in men, but not in women. Our study reveals that PFASs are risk factors for hypertension, with notable gender differences observed in PFASs-exposed populations. Specifically, males exposed to PFNA, PFOA, and PFOS exhibit a higher risk of hypertension compared to females. However, further investigations are needed to delve into the precise mechanism through which PFASs contribute to the development of hypertension.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.envres.2023.116362,Hypertension,NA,NA
rayyan-1268390705,Systematic review and meta-analysis of epidemiologic data on vaccine response in relation to exposure to five principal perfluoroalkyl substances,2023,2,NA,ENVIRONMENT INTERNATIONAL,0160-4120,172,NA,,"Crawford, Lori and Halperin, Scott A. and Dzierlenga, Michael W. and Skidmore, Becky and Linakis, Matthew W. and Nakagawa, Shinichi and Longnecker, Matthew P.",,,,,"Background: Epidemiologic studies of serum per- and polyfluoroalkyl substances (PFAS) and antibody response to vaccines have suggested an adverse association, but the consistency and magnitude of this association remain unclear. Objective: The goal of this systematic review was to determine the size of the association between a doubling in perfluoroalkyl substances (PFAS) serum concentration and difference in log(e) antibody concentration following a vaccine, with a focus on five PFAS: perfluorooctanoic acid (PFOA), perfluorooctane sulfonate (PFOS), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA), and perfluorodecanoic acid (PFDA). Data source: We conducted online searches of PubMed and Web of Science through May 17, 2022 and identified 14 eligible reports published from 2012 to 2022. Study eligibility criteria, participants, and interventions: We included studies conducted in humans, including mother-child pairs, which examined serum PFAS concentration in relation to serum concentration of antibody to a specific antigen following a vaccine. Study appraisal and synthesis methods: We used the risk of bias assessment for non-randomized studies of exposure and certainty assessment method proposed by Morgan et al. (2019). Using a multilevel meta-regression model, we quantitatively synthesized the data. Results: The 14 reports represented 13 unique groups of subjects; the frequency of studies of a given antibody was Tetanus (n = 7); followed by Diphtheria (6); Measles (4); Rubella (3); Haemophilus influenzae type b and Influenza A H1N1 (2 each); and Hepatitis A, Hepatitis B, Influenza A H2N3, Influenza B, and Mumps (1 each). There were approximately 4,830 unique participants included in the analyses across the 14 reports. The models of coefficients between antibody concentration and the five principal PFAS showed homogeneity of associations across antibody types for each principal PFAS. In the models with all antibodies treated as one type, evidence of effect modification by life stage was present for PFOA and PFOS, and for consistency, all associations were evaluated for all ages and for children. The summary associations (coefficients for difference in log(e){[}antibody concentration] per doubling of serum PFAS) with 95\% confidence intervals that excluded zero ({''}statistical support{''}), and certainty of evidence ratings were as follows: for PFOA and all antibodies treated as one type in all ages, -0.06 (-0.10, -0.01; moderate) and in children, -0.10 (-0.16, -0.03; moderate); for Diphtheria in children, -0.12 (-0.23, -0.00; high); for Rubella in all ages, -0.09 (-0.17, -0.01; moderate), and for Tetanus in children, -0.12 (-0.24, -0.00; moderate). For PFOS the summary associations were, for all antibodies treated as one type in all ages, -0.06 (-0.11, -0.01; moderate) and in children, -0.10 (-0.18, -0.03; moderate); for Rubella in all ages, -0.09 (-0.15, -0.03; high) and in children, -0.12 (-0.20, -0.04; high). For PFHxS the summary associations were, for all antibodies treated as one type in all ages, -0.03 (-0.06, -0.00; moderate) and in children, -0.05 (-0.09, -0.00; low); and for Rubella in children, -0.07 (-0.11, -0.02; high). Summary associations for PFNA and PFDA did not have statistical support, but all PFAS studied tended to have an inverse association with antibody concentrations. Limitations and conclusions: Epidemiologic data on immunosuppression and five principal PFAS suggest an association, with support across antibodies against multiple types of antigens. Data on Diphtheria, Rubella, and Tetanus were more supportive of an association than for other antibodies, and support was greater for associations with PFOA, PFOS, and PFHxS, than for PFNA or PFDA. The data on any specific antibody were scarce. Confounding factors that might account for the relation were not identified. Nearly all studies evaluated were judged to have a low or moderate risk of bias.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.envint.2023.107734,Vaccination;Vaccines,NA,NA
rayyan-1268390706,Association between exposure to per- and polyfluoroalkyl substances and levels of lipid profile based on human studies,2024,NA,NA,REVIEWS ON ENVIRONMENTAL HEALTH,0048-7554,NA,NA,,"Song, Xinru and Ye, Tingtao and Jing, Dongmei and Wei, Kai and Ge, Yue and Bei, Xinyue and Qi, Yuqian and Wang, Huanqiang and Li, Jun and Zhang, Yan",,,,,"Epidemiological evidence suggests that exposure to per- and polyfluoroalkyl substances (PFAS) is associated with lipid profile levels, but with inconsistent conclusions from different studies. The aim of this study was to conduct a meta-analysis of the relationship between PFAS exposure and lipid profile levels based on population-based epidemiological studies. Embase, PubMed, Ovid database, The Cochrane Library and Web of Science database were used to search appropriate studies (before September 6, 2022) on the correlation between PFAS exposure and lipid profile levels. beta value, odd ratio (OR) and 95 \% confidence intervals (CIs) were extracted from studies. In this study, we found that higher low-density lipoprotein (LDL) levels were associated with exposure to perfluoroundecanoic acid (PFUnDA) (beta value=0.13, 95 \% CIs: 0.02, 0.24) and perfluorooctane sulfonic acid (PFOS) (beta value=0.13, 95 \% CIs: 0.04, 0.21). PFOA, PFOS and PFNA exposure were significantly related to the higher levels of total cholesterol (TC) with the pooled effect estimates of 0.08 (95 \% CI: 0.02, 0.14), 0.13 (95 \% CI: 0.05, 0.21) and 0.14 (95 \% CI: 0.08, 0.20) respectively. In sum, our results identified that PFOA, PFOS, PFNA and PFUnDA were the most important risk factors for abnormal levels of lipid profile, indicating that we should prevent cerebrovascular disease by reducing and controlling PFAS exposure.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1515/reveh-2023-0146,Humanities;Humanism;Humans,NA,NA
rayyan-1268390707,Association between prenatal perfluorinated compounds exposure and risk of pregnancy complications: A meta-analysis,2024,3,NA,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,0147-6513,272,NA,,"Pang, Liya and Li, Mei and Dukureh, Abdoulie and Li, Ying and Ma, Jinqi and Tang, Qiuqin and Wu, Wei",,,,,"Background and objective: Per- and polyfluoroalkyl substances (PFASs) have been shown to be persistent and bioaccumulative. An elevated danger of pregnancy complications perhaps connected with exposure to PFASs, but the potential effects remain elusive. The objective of this study is to investigate the possible association between PFASs exposure and pregnancy complications, drawing upon existing evidence. Methods: Electronic databases of PubMed, Qvid Medline, Embase, and Web of Science were searched thoroughly to identify eligible research published prior to November 28, 2023, examining the relationship between PFASs and pregnancy-related complications. To evaluate the quality of observational studies incorporated into the article, the Strengthening Reporting of Observational Studies in Epidemiology (STROBE) tool was utilized. The main outcomes assessed in this study included gestational diabetes mellitus (GDM), hypertensive disorders of pregnancy (HDP), gestational hypertension (GH), and preeclampsia (PE). Results: Twenty-five relevant studies involving 30079 participants were finally selected from four databases. The combined estimates indicate that prenatal exposure to perfluorooctanoic acid (PFOA), perfluorohexane sulfonic acid (PFHxS), perfluorobutane sulfonic acid (PFBS), and perfluoroenanthic acid (PFHpA) is associated with gestational diabetes mellitus (GDM) (PFOA: OR = 1.45, 95\%CI: 1.07-1.94, P = 0.015; PFHxS: OR = 1.16, 95\%CI: 1.00-1.36, P = 0.055; PFBS: OR = 1.44, 95\%CI: 1.16-1.79, P = 0.001; PFHpA: OR = 1.41, 95\%CI: 1.10-1.82, P = 0.008). The exposure to PFBS is positively associated with HDP (OR = 1.27, 95\%CI: 1.14-1.41, P < 0.001), while both PFOA and PFHpA demonstrate statistically significant positive correlations with GH (PFOA: OR = 1.09, 95\%CI: 1.00-1.19, P = 0.049; PFHpA: OR = 1.43, 95\%CI: 1.15-1.78, P = 0.001). Negative correlations were observed for prenatal perfluorododecanoic acid (PFDoA) exposure and GH (OR = 0.71, 95\%CI: 0.57-0.87, P = 0.001). However, no compelling evidence was identified to link PFASs exposure with the risk of PE. Conclusion: According to the meta-analysis findings, exposure to PFASs may be linked to GDM, HDP, and GH, but it does not significantly raise the risk of PE alone. Further research with larger sample size is required to verify this potential association and explore the biological mechanisms.","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.ecoenv.2024.116017,Pregnancy;Pregnancy Complications,NA,NA
rayyan-1268390708,Assessing the health risk of hyperuricemia in participants with persistent organic pollutants exposure-a systematic review and meta-analysis,2023,2,NA,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,0147-6513,251,NA,,"Yu, Yipei and Quan, Xuyuan and Wang, Huijun and Zhang, Bing and Hou, Yan and Su, Chang",,,,,"Based on a systematic review and meta-analysis of articles published in PubMed, Embase, Cochrane, and Web of Science, we identified nine articles that provide evidence of the relationship between persistent organic pol-lutants and hyperuricemia. Our researchers assess the quality of the included studies and their risk of bias using the recommended method and tool. This study uses meta-analyses of the random effects of each exposure and outcome to estimate combined odds ratios (ORs) and 95\% confidence intervals (CIs). We found that the risk of hyperuricemia was strongly associated with three perfluorinated compounds, PFNA, PFOA, and PFOS, with the OR(95\%CI) of 1.26 (1.07-1.47), 1.44(1.15-1.79), and 1.23(1.01-1.50) respectively. We also found a weak as-sociation between two other perfluorinated compounds, PFDA and PFHxS. Other than that, the summary ORs (95\% CIs) of incident hyperuricemia were 2.34 (1.79-3.08) for DDT, 3.25(2.40-4.39) for DDE, 2.57 (1.37-4.81) for PCBs and 3.05(2.22-4.19) in trans-nonanchlor. Therefore, DDT and its breakdown product, DDE, PCBs, and trans-nonanchlor have also been linked with an increased risk of hyperuricemia in humans. This study finds that persistent organic pollutant is a critical factor for hyperuricemia, and further studies in specific regions will be considered in the future.","RAYYAN-INCLUSION: {""Kyle ""=>""Included"", ""Ayumi""=>""Included""}",10.1016/j.ecoenv.2023.114525,,NA,NA
