Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Borghese, MM; Liang, CL; Owen, J; Fisher, M",,,,"Borghese, Michael M.; Liang, Chun Lei; Owen, James; Fisher, Mandy",,,Individual and mixture associations of perfluoroalkyl substances on liver function biomarkers in the Canadian Health Measures Survey,ENVIRONMENTAL HEALTH,,,,,,,,,,,,"Background Perfluoroalkyl substances can disrupt hepatic metabolism and may be associated with liver function biomarkers. We examined individual and mixture associations of PFAS on liver function biomarkers in a representative sample of Canadian adults. We explored the potential for effect modification by sex and body mass index, as well as by physical activity level which may attenuate the deleterious effect of PFAS on metabolic disorders. Methods We analyzed data from participants aged 20-74 from the Canadian Health Measures Survey. We used linear regression to examine associations between plasma concentrations of PFOA, PFOS, PFHxS, PFNA, PFDA, and PFUDA on serum concentrations of aspartate aminotransferase (AST), gamma-glutamyltransferase (GGT), alkaline phosphatase (ALP), alanine aminotransferase (ALT) and total bilirubin. We used quantile g-computation to estimate associations with a PFAS mixture for each simultaneous, one-quartile change in PFAS concentrations. Results Each doubling of PFOA, PFOS, PFHxS, or PFNA concentrations was associated with higher AST, GGT, and ALP concentrations. Each doubling of PFOA concentrations was associated with 16.5% (95%CI: 10.4, 23.0) higher GGT concentrations among adults not meeting Canada's physical activity guidelines vs. 6.6% (95%CI: -1.6, 15.5) among those meeting these guidelines. Sex and BMI also modified some associations, though to a lesser extent. We did not observe associations between ALT and PFOA (1.2% change; 95%CI: -2.5, 4.9), PFOS (2.2% change; 95%CI: -0.8, 5.3), or PFHxS (1.5% change; 95%CI: -0.4, 3.4). We also did not observe consistent associations for PFDA and PFUDA or with total bilirubin. In quantile g-computation models, each simultaneous one-quartile increase in the PFAS mixture was positively associated with AST (7.5% higher; 95%CI: 4.0, 10.4), GGT (9.7% higher; 95%CI: 1.7, 17.0), and ALP (2.8% higher; 95%CI: 0.5, 5.4). Conclusion Higher plasma concentrations of PFOA, PFOS, PFHxS, and PFNA - both individually and as a mixture - were associated with higher serum concentrations of liver function biomarkers. These results contribute to emerging evidence suggesting that higher levels of physical activity appear to be protective against the hepatotoxic effects of PFOA. This work contributes to a growing body of evidence supporting the hepatotoxic effects of PFAS.",,,,,"Liang, Chunlei/AAD-7042-2022",,,,,,,,,,,,,,,1476-069X,,,,SEP 14,2022,21,1,,,,,,,85,10.1186/s12940-022-00892-6,http://dx.doi.org/10.1186/s12940-022-00892-6,,,,,,,,36104725,,,,,WOS:000853899400001,View Full Record in Web of Science
J,"Chen, YR; Wu, Y; Lv, JY; Zhou, S; Lin, SB; Huang, SL; Zheng, LJ; Deng, GH; Feng, YC; Zhang, GX; Feng, WR",,,,"Chen, Yiran; Wu, Yan; Lv, Jiayun; Zhou, Si; Lin, Shaobin; Huang, Suli; Zheng, Linjie; Deng, Guanhua; Feng, Yuchao; Zhang, Guoxia; Feng, Wenru",,,Overall and individual associations between per- and polyfluoroalkyl substances and liver function indices and the metabolic mechanism,ENVIRONMENT INTERNATIONAL,,,,,,,,,,,,"Per- and polyfluoroalkyl substances (PFAS) can disrupt liver homeostasis. Studies have shown that a single exposure to PFAS may provoke abnormal liver function; however, few studies have investigated the overall effect of PFAS mixtures. We aimed to investigate associations between exposure to PFAS mixtures and liver function indices and explore the relevant mechanisms. This study included 278 adult males from Guangzhou, China. Serum metabolite profiles were analyzed using untargeted metabolomics. We applied weighted quantile sum (WQS) regression as well as Bayesian kernel machine regression (BKMR) to analyze the association of nine PFAS mixtures with 14 liver function indices. PFAS mixtures were positively associated with apolipoprotein B (APOB) and gamma-glutamyltransferase (GGT) and negatively associated with direct bilirubin (DBIL) and total bilirubin (TBIL) in both the WQS and BKMR analyses. In addition, Spearman's correlation test showed individual PFAS correlated with APOB, GGT, TBIL, and DBIL, while there's little correlation between individual PFAS and other liver function indices. In linear regression analysis, PFHxS, PFOS, PFHpS, PFNA, PFDA, and PFUdA were associated with APOB; PFOA, PFDA, PFOS, PFNA, and PFUdA were associated with GGT. Subsequently, a metabolome-wide association study and mediation analysis were combined to explore metabolites that mediate these associations. The mechanisms linking PFAS to APOB and GGT are mainly related with amino acid and glycerophospholipid metabolism. High-dimensional mediation analysis showed that glycerophospholipids are the main markers of the association between PFAS and APOB, and that (R)-dihydromaleimide, Ile Leu, (R)-(+)-2pyrrolidone-5-carboxylic acid, and L-glutamate are the main markers of the association between PFAS and GGT. In summary, overall associations between PFAS and specific indices of liver function were found using two statistical methods; the metabolic pathways and markers identified here may serve to prompt more detailed study in animal-based systems, as well as a similar detailed analysis in other populations.",,,,,"Chen, Yiran/JVZ-2621-2024","Chen, Yi-ran/0000-0002-4602-2454",,,,,,,,,,,,,0160-4120,1873-6750,,,,JAN,2024,183,,,,,,,,108405,10.1016/j.envint.2023.108405,http://dx.doi.org/10.1016/j.envint.2023.108405,,DEC 2023,,,,,,38163401,,,,,WOS:001150814500001,View Full Record in Web of Science
J,"Liu, BK; Zhu, L; Wang, ML; Sun, Q",,,,"Liu, Binkai; Zhu, Lu; Wang, Molin; Sun, Qi",,,Associations between Per- and Polyfluoroalkyl Substances Exposures and Blood Lipid Levels among Adults-A Meta-Analysis,ENVIRONMENTAL HEALTH PERSPECTIVES,,,,,,,,,,,,"BACKGROUND: Associations between per-and polyfluoroalkyl substances (PFAS) and blood lipid levels in humans were mixed. OBJECTIVES: The objective of this meta-analysis was to summarize associations between PFAS and blood lipids in adults.METHODS: A literature search was conducted on PubMed and Web of Science for articles published through 13 May 2022 that examined associations between PFAS and blood lipids, including total cholesterol (TC), high-density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), and triacylglycerols (TGs). Inclusion criteria included the presence of associations between five PFAS (PFOA, PFOS, PFHxS, PFDA, and PFNA) and four blood lipid measures (TC, HDL-C, LDL-C, and TGs) in adults. Data on study characteristics and PFAS-lipid associations were extracted. Assessments of individual study quality were performed. Associations of changes of blood lipid levels corresponding to 1 interquartile range (IQR)-unit increase of blood PFAS levels were pooled using random effects models. Dose-response relationships were examined. RESULTS: Twenty-nine publications were included in the present analyses. Every IQR increase of PFOA was significantly associated with a 2.1-mg/dL increase in TC (95% CI: 1.2, 3.0), a 1.3-mg/dL increase in TGs (95% CI: 0.1, 2.4), and a 1.4-mg/dL increase in LDL-C (95% CI: 0.6, 2.2). PFOS was also significantly associated with TC and LDL-C levels, and the corresponding values were 2.6 (95% CI: 1.5, 3.6) and 1.9 (95% CI: 0.9, 3.0), respectively. Associations of PFOS and PFOA with HDL-C levels were largely null. For minor PFAS species, PFHxS was significantly associated with higher levels of HDL-C [0.8 (95% CI: 0.5, 1.2)]. Inverse associations were observed between PFDA and TGs [-5.0 (95% CI: -8.1, -1.9)] and between PFNA and TGs [-1.7 (95% CI: -3.5, -0.02)], whereas a positive association was observed between PFDA and HDL-C [1.4 (95% CI: 0.1, 2.7)]. Nonsignificant nonlinear dose-response relationships were identified for associations of PFOA and PFOS with certain blood lipids.DISCUSSION: PFOA and PFOS were significantly associated with TC and LDL-C levels in adults. Whether these findings may translate into an ele-vated cardiovascular disease risk associated with PFAS exposure warrants further investigation. https://doi.org/10.1289/EHP11840",,,,,,"Liu, Binkai/0000-0002-5478-5208",,,,,,,,,,,,,0091-6765,1552-9924,,,,MAY,2023,131,5,,,,,,,56001,10.1289/EHP11840,http://dx.doi.org/10.1289/EHP11840,,,,,,,,37141244,,,,,WOS:001019596900016,View Full Record in Web of Science
J,"Chang, MC; Chung, SM; Kwak, SG",,,,"Chang, Min Cheol; Chung, Seung Min; Kwak, Sang Gyu",,,Exposure to perfluoroalkyl and polyfluoroalkyl substances and risk of stroke in adults: a meta-analysis,REVIEWS ON ENVIRONMENTAL HEALTH,,,,,,,,,,,,"Introduction: Evidence of the adverse metabolic health effects of perfluoroalkyl and polyfluoroalkyl substances (PFAS) is increasing. However, the impact of PFAS on cardiovascular diseases remains controversial. This meta-analysis aimed to analyze the impact of PFAS on the stroke risk. Content: Databases were searched for studies published up to November 1, 2022, which report the association between stroke and exposure to at least one of four main PFAS (perfluorooctanoic acid [PFOA], perfluorooctanesulfonic acid [PFOS], perfluorononanoic acid [PFNA], and perfluorohexane sulfonic acid [PFHxS]). Data extraction and quality assessment were performed according to the Newcastle-Ottawa scale. Summary and outlook: Four studies were included in this systematic review. Multivariate adjusted odds ratios (ORs) for incident stroke per 1-log unit increment in each serum PFAS were combined in the meta-analysis. The risk of development of stroke was not significantly associated with PFOA, PFOS, or PFNA exposure (PFOA: pooled odds ratio [OR]=1.001, 95 % confidence interval [CI]=0.975-1.028, p=0.752), whereas a moderately lower risk was associated with PFHxS exposure without statistical significance (pooled OR=0.953, 95 % CI=0.908-1.001, p=0.054). PFOA, PFOS, and PFNA exposure showed a neutral association, while PFHxS showed a possible inverse association with the risk of stroke. Therefore, this finding should be interpreted with caution. Further prospective observational studies with PFAS mixture analyses are warranted.",,,,,,,,,,,,,,,,,,,0048-7554,2191-0308,,,,2023 SEP 4,2023,,,,,,,,,,10.1515/reveh-2023-0021,http://dx.doi.org/10.1515/reveh-2023-0021,,SEP 2023,,,,,,37656598,,,,,WOS:001060002400001,View Full Record in Web of Science
J,"Schillemans, T; Iszatt, N; Remy, S; Schoeters, G; Fernández, MF; D'Cruz, SC; Desalegn, A; Haug, LS; Lignell, S; Lindroos, AK; Fábelová, L; Murinova, LP; Kosjek, T; Tkalec, Z; Gabriel, C; Sarigiannis, D; Pedraza-Díaz, S; Esteban-López, M; Castaño, A; Rambaud, L; Riou, M; Pauwels, S; Vanlarebeke, N; Kolossa-Gehring, M; Vogel, N; Uhl, M; Govarts, E; Åkesson, A",,,,"Schillemans, Tessa; Iszatt, Nina; Remy, Sylvie; Schoeters, Greet; Fernandez, Mariana F.; D'Cruz, Shereen Cynthia; Desalegn, Anteneh; Haug, Line S.; Lignell, Sanna; Lindroos, Anna Karin; Fabelova, Lucia; Murinova, Lubica Palkovicova; Kosjek, Tina; Tkalec, Ziga; Gabriel, Catherine; Sarigiannis, Denis; Pedraza-Diaz, Susana; Esteban-Lopez, Marta; Castano, Argelia; Rambaud, Loic; Riou, Margaux; Pauwels, Sara; Vanlarebeke, Nik; Kolossa-Gehring, Marike; Vogel, Nina; Uhl, Maria; Govarts, Eva; Akesson, Agneta",,,Cross-sectional associations between exposure to per- and polyfluoroalkyl substances and body mass index among European teenagers in the HBM4EU aligned studies,ENVIRONMENTAL POLLUTION,,,,,,,,,,,,"Per-and polyfluoroalkyl substances (PFAS) are widespread pollutants that may impact youth adiposity patterns. We investigated cross-sectional associations between PFAS and body mass index (BMI) in teenagers/adolescents across nine European countries within the Human Biomonitoring for Europe (HBM4EU) initiative. We used data from 1957 teenagers (12-18 yrs) that were part of the HBM4EU aligned studies, consisting of nine HBM studies (NEBII, Norway; Riksmaten Adolescents 2016-17, Sweden; PCB cohort (follow-up), Slovakia; SLO CRP, Slovenia; CROME, Greece; BEA, Spain; ESTEBAN, France; FLEHS IV, Belgium; GerES V-sub, Germany). Twelve PFAS were measured in blood, whilst weight and height were measured by field nurse/physician or self-reported in ques-tionnaires. We assessed associations between PFAS and age-and sex-adjusted BMI z-scores using linear and logistic regression adjusted for potential confounders. Random-effects meta-analysis and mixed effects models were used to pool studies. We assessed mixture effects using molar sums of exposure biomarkers with toxicological/structural similarities and quantile g-computation. In all studies, the highest concentrations of PFAS were PFOS (medians ranging from 1.34 to 2.79 mu g/L). There was a tendency for negative associations with BMI z-scores for all PFAS (except for PFHxS and PFHpS), which was borderline significant for the molar sum of [PFOA and PFNA] and significant for single PFOA [beta-coefficient (95% CI) per interquartile range fold change =-0.06 (-0.17, 0.00) and-0.08 (-0.15,-0.01), respectively]. Mixture assessment indicated similar negative associations of the total mixture of [PFOA, PFNA, PFHxS and PFOS] with BMI z-score, but not all compounds showed associations in the same direction: whilst [PFOA, PFNA and PFOS] were negatively associated, [PFHxS] associated positively with BMI z-score. Our results indicated a tendency for associations of relatively low PFAS concentrations with lower BMI in European teenagers. More prospective research is needed to investigate this potential relationship and its implications for health later in life.",,,,,"Rambaud, Loïc/GRY-3461-2022; Esteban, Marta/H-2096-2016; Fernandez, Mariana F./C-9877-2012; Kosjek, Tina/D-2313-2014; Pedraza-Diaz, Susana/HGB-3199-2022; Pedraza-Diaz, Susana/F-3988-2018","Esteban, Marta/0000-0002-4527-350X; Fernandez, Mariana F./0000-0001-6417-8914; Kosjek, Tina/0000-0002-6421-0344; Palkovicova Murinova, Lubica/0000-0003-0438-2619; Pedraza-Diaz, Susana/0000-0001-9401-6473; Lignell, Sanna/0000-0002-4562-8841; Tkalec, Ziga/0000-0003-4518-3923; Remy, Sylvie/0000-0003-0322-9620; Desalegn, Anteneh Assefa/0000-0002-4345-9861; Schillemans, Tessa/0000-0002-1044-1630; RAMBAUD, Loic/0000-0002-2894-5044; Haug, Line Smastuen/0000-0001-6746-6399",,,,,,,,,,,,,0269-7491,1873-6424,,,,JAN 1,2023,316,,1,,,,,,120566,10.1016/j.envpol.2022.120566,http://dx.doi.org/10.1016/j.envpol.2022.120566,,NOV 2022,,,,,,36334774,,,,,WOS:000904796100006,View Full Record in Web of Science
J,"Akodu, OD; Aiyesanmi, AF; Tomori, BW",,,,"Akodu, Olayinka D.; Aiyesanmi, Ademola F.; Tomori, Bolaji W.",,,"Distribution of heavy metals and pesticides residues in sediments of some rivers in Ekiti state, Southwest Nigeria",EQA-INTERNATIONAL JOURNAL OF ENVIRONMENTAL QUALITY,,,,,,,,,,,,"Sediments are habitats and major sources of nutrients for benthic organisms. High concentration of pollutants can impact negatively on the lives of such organisms and ultimately on the lives of human beings who may feed on them. This study was carried out in order to evaluate some environmental pollutants' load: heavy metals and pesticide residues in Irintan, Omi-Eye and Egbigbu river sediments in Ekiti State, Southwest Nigeria. Sediment samples were taken at upper, middle and lower courses of each river relative to the farm used for the study. The samples were air-dried in the laboratory, disaggregated, sieved and analysed for heavy metals and organochlorine pesticides (OCP) residues using standard methods. The heavy metal range at floodplains (mg/kg) was: Cr (0.252.08), Cu (0.19-14.28), Zn (BDL-2.53), Cd (BDL-0.87), Pb (BDL-0.32), Fe (0.38-22.35) while for OCP residues, the range (& mu;g/kg) was & alpha;-BHC (0.15-0.33), & beta;-BHC (0.19-14.28), ?-BHC (0.25-1.09), lindane (BDL-1.23), chlorothalonil (0.87-1.44), heptachlor (BDL-1.04), heptachlor epoxide (BDL-1.96), endosulfan I (0.20-1.98), endosulfan II (BDL-0.67), aldrin (BDL-1.93), endrin (BDL-0.37), dieldrin (BDL-0.42), p,p-DDE (BDL-0.52), p,pDDT (BDL-1.20), methoxychlor (0.21-0.88). The pollutants' concentrations in the sediments were generally low at all the sites when compared with international guidelines for each pollutant. Governments in Nigeria should checkmate indiscriminate dumping of refuse most of which end in our rivers in order to reduce pollutants' concentration in rivers/sediments so as to protect the lives of benthic organisms.",,,,,,,,,,,,,,,,,,,2039-9898,2281-4485,,,,,2023,56,,,,,,62,69,,10.6092/issn.2281-4485/16969,http://dx.doi.org/10.6092/issn.2281-4485/16969,,,,,,,,,,,,,WOS:001022949100001,View Full Record in Web of Science
J,"Yang, JX; Zhang, K; Shen, CC; Tang, P; Tu, SS; Li, JY; Chen, L; Yang, WX",,,,"Yang, Jingxuan; Zhang, Kui; Shen, Chengchen; Tang, Peng; Tu, Shasha; Li, Jiangyun; Chen, Li; Yang, Wenxing",,,The Association of Hypertension with Perfluoroalkyl and Polyfluoroalkyl Substances,INTERNATIONAL HEART JOURNAL,,,,,,,,,,,,"Perfluoroalkyl and polyfluoroalkyl substance (PFAS) is a large group of fluorinated synthetic chemicals, e. perfluorodecanoic acid (PFDA), and perfluorononanoic acid (PFNA). Many epidemiological studies have found that PFAS exposure is associated with hypertension risk, but others possess a different opinion. Overall, the relationship between PFASs and hypertension risk remains controversial. We sought to conduct a systematic review and meta-analysis to clarify the association between PFAS exposure and human risk of hypertension.We conducted a meta-analysis based on population-involving studies published from 1975 to 2023, which we collected from Web of Science, PubMed, and Embase databases. The odds ratio (OR) and standardized mean difference (SMD), with their 95% confidence interval (CI), were used to assess the risk of hypertension with PFAS exposure. The statistical heterogeneity among studies was assessed with the Q-test and I2 statistics. Research publications related to our meta-analysis topic were systematically reviewed.Fourteen studies involving 71,663 participants, in which 26,281 suffered hypertension, met the inclusion criteria. Our analyses suggest that exposure to general PFAS (OR = 1.09, 95% CI = 1.04-1.14) or PFOS (OR = 1.17, 95% CI = 1.05-1.30) is associated with hypertension risk. Specifically, elevated levels of general PFAS (SMD = 0.25, 95% CI = 0.08-0.42), PFHxS (SMD = 0.17, 95% CI = 0.07-0.27), and PFDA (SMD = 0.08, 95% CI = 0.02-0.13) are associated with a high risk of hypertension.Our meta-analysis indicates that PFAS exposure is a risk factor for hypertension, and increased hypertension risk is associated with higher PFAS levels. Further study may eventually provide a better and more comprehensive elucidation of the potential mechanism of this association.",,,,,,,,,,,,,,,,,,,1349-2365,1349-3299,,,,NOV,2023,64,6,,,,,1079,1087,,10.1536/ihj.23-036,http://dx.doi.org/10.1536/ihj.23-036,,,,,,,,37967990,,,,,WOS:001116737400018,View Full Record in Web of Science
J,"Hirke, A; Varghese, B; Varade, S; Adela, R",,,,"Hirke, Amol; Varghese, Bincy; Varade, Shruti; Adela, Ramu",,,Exposure to endocrine-disrupting chemicals and risk of gestational hypertension and preeclampsia: A systematic review and meta-analysis*,ENVIRONMENTAL POLLUTION,,,,,,,,,,,,"Prenatal exposure to endocrine-disrupting chemicals has been linked to gestational hypertension (GH) and preeclampsia (PE). However, the results were conflicting and inconclusive. We conducted a systematic review and meta-analysis for an overview of these relationships. We searched PubMed, and Google Scholar for studies investigating bisphenol A, phthalates, and per or poly-fluoroalkyl substances and GH or PE. Pooled odds ratio (OR) with a 95% confidence interval (CI) were calculated for risk estimate using the generic inverse variance method. A total of 14 studies were included in the present analysis. The pooled results demonstrated that perfluorooctanoic acid (PFOA, OR:1.20, 95% CI: 1.04, 1.39), perfluoro octane sulfonic acid (PFOS, (OR:1.23, 95% CI: 1.10, 1.38), and perfluononanoic acid (PFNA, OR:1.20, 95% CI: 1.03, 1.40) were significantly associated with an increased risk of PE. There was no significant association observed with perfluoro hexane sulfonic acid (PFHxS), perfluoro decanoic acid (PFDA), perfluoro heptanoic acid (PFHpA), and perfluoro undecanoic acid (PFUnDA) and PE. For GH, a statistically significant positive association was found with PFOA (OR:1.18, 95% CI: 1.01, 1.39) and PFHxS (OR:1.15, 95% CI: 1.02, 1.29). Among various phthalates analysed only mono-ethyl phthalate (MEP, OR:1.37, 95% CI: 1.11, 1.70) showed an association with GH. From our analysis, bisphenol A exposure during pregnancy did not show a significant association with the risk of PE. Our findings indicated that exposure to PFASs such as PFOA, PFOS, and PFNA during pregnancy is associated with an increased risk of PE and PFOA and PFHxS with GH. We also found that MEP was associated with GH. Most of the results were unstable in sensitivity analysis. Since most of these associations have limited evidence, more research is needed to confirm these findings.",,,,,"VARGHESE, BINCY/IZE-8297-2023; Adela, Ramu/HKO-9169-2023","Adela, Ramu/0000-0003-0909-2557",,,,,,,,,,,,,0269-7491,1873-6424,,,,JAN 15,2023,317,,,,,,,,120828,10.1016/j.envpol.2022.120828,http://dx.doi.org/10.1016/j.envpol.2022.120828,,DEC 2022,,,,,,36481468,,,,,WOS:000903574500004,View Full Record in Web of Science
J,"Pan, K; Xu, J; Long, XP; Yang, LL; Huang, ZY; Yu, J",,,,"Pan, Kai; Xu, Jie; Long, Xianping; Yang, Lilin; Huang, Zhiyu; Yu, Jie",,,The relationship between perfluoroalkyl substances and hypertension: A systematic review and meta-analysis,ENVIRONMENTAL RESEARCH,,,,,,,,,,,,"Hypertension is an important risk factor for cardiovascular diseases (CVDs) and a leading cause of premature death. Epidemiological studies have found that perfluoroalkyl substances (PFASs) are associated with hypertension. However, the correlation between PFASs and hypertension has not been systematically reported. Based on evidence from population epidemiological surveys, we conducted a meta-analysis following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines to assess the correlation between PFASs exposure and hypertension. In this study, three databases of PubMed, Web of science, Embase were searched and 13 literatures with 81,096 participants were included. Literature heterogeneity was evaluated by I2 statistic, and the random effect model (I2 > 50%) and fixed effect model (I2 < 50%) were used to combine the studies in meta-analysis. The results showed that PFNA (OR = 1.11, 95% CI: 1.04-1.19), PFOA (OR = 1.12, 95% CI: 1.02-1.23), PFOS (OR = 1.19, 95% CI: 1.06-1.34) and PFHxS (OR = 1.03, 95% CI: 1.00-1.06) were significantly associated with hypertension, while other types of PFASs ( n-ary sumation PFAS, PFDA, PFUnDA) had no statistical significance. In addition, PFNA (OR = 1.12, 95% CI: 1.03-1.22), PFOA (OR = 1.12, 95% CI: 1.01-1.25) and PFOS (OR = 1.12, 95% CI: 1.00-1.25) exposure were positively correlated with the risk of hypertension in men, but not in women. Our study reveals that PFASs are risk factors for hypertension, with notable gender differences observed in PFASs-exposed populations. Specifically, males exposed to PFNA, PFOA, and PFOS exhibit a higher risk of hypertension compared to females. However, further investigations are needed to delve into the precise mechanism through which PFASs contribute to the development of hypertension.",,,,,,", JIE/0000-0002-4796-7177",,,,,,,,,,,,,0013-9351,1096-0953,,,,SEP 1,2023,232,,,,,,,,116362,10.1016/j.envres.2023.116362,http://dx.doi.org/10.1016/j.envres.2023.116362,,JUN 2023,,,,,,37295593,,,,,WOS:001023361100001,View Full Record in Web of Science
J,"Crawford, L; Halperin, SA; Dzierlenga, MW; Skidmore, B; Linakis, MW; Nakagawa, S; Longnecker, MP",,,,"Crawford, Lori; Halperin, Scott A.; Dzierlenga, Michael W.; Skidmore, Becky; Linakis, Matthew W.; Nakagawa, Shinichi; Longnecker, Matthew P.",,,Systematic review and meta-analysis of epidemiologic data on vaccine response in relation to exposure to five principal perfluoroalkyl substances,ENVIRONMENT INTERNATIONAL,,,,,,,,,,,,"Background: Epidemiologic studies of serum per- and polyfluoroalkyl substances (PFAS) and antibody response to vaccines have suggested an adverse association, but the consistency and magnitude of this association remain unclear. Objective: The goal of this systematic review was to determine the size of the association between a doubling in perfluoroalkyl substances (PFAS) serum concentration and difference in log(e) antibody concentration following a vaccine, with a focus on five PFAS: perfluorooctanoic acid (PFOA), perfluorooctane sulfonate (PFOS), perfluorohexane sulfonate (PFHxS), perfluorononanoic acid (PFNA), and perfluorodecanoic acid (PFDA). Data source: We conducted online searches of PubMed and Web of Science through May 17, 2022 and identified 14 eligible reports published from 2012 to 2022. Study eligibility criteria, participants, and interventions: We included studies conducted in humans, including mother-child pairs, which examined serum PFAS concentration in relation to serum concentration of antibody to a specific antigen following a vaccine. Study appraisal and synthesis methods: We used the risk of bias assessment for non-randomized studies of exposure and certainty assessment method proposed by Morgan et al. (2019). Using a multilevel meta-regression model, we quantitatively synthesized the data. Results: The 14 reports represented 13 unique groups of subjects; the frequency of studies of a given antibody was Tetanus (n = 7); followed by Diphtheria (6); Measles (4); Rubella (3); Haemophilus influenzae type b and Influenza A H1N1 (2 each); and Hepatitis A, Hepatitis B, Influenza A H2N3, Influenza B, and Mumps (1 each). There were approximately 4,830 unique participants included in the analyses across the 14 reports. The models of coefficients between antibody concentration and the five principal PFAS showed homogeneity of associations across antibody types for each principal PFAS. In the models with all antibodies treated as one type, evidence of effect modification by life stage was present for PFOA and PFOS, and for consistency, all associations were evaluated for all ages and for children. The summary associations (coefficients for difference in log(e)[antibody concentration] per doubling of serum PFAS) with 95% confidence intervals that excluded zero (statistical support), and certainty of evidence ratings were as follows: for PFOA and all antibodies treated as one type in all ages, -0.06 (-0.10, -0.01; moderate) and in children, -0.10 (-0.16, -0.03; moderate); for Diphtheria in children, -0.12 (-0.23, -0.00; high); for Rubella in all ages, -0.09 (-0.17, -0.01; moderate), and for Tetanus in children, -0.12 (-0.24, -0.00; moderate). For PFOS the summary associations were, for all antibodies treated as one type in all ages, -0.06 (-0.11, -0.01; moderate) and in children, -0.10 (-0.18, -0.03; moderate); for Rubella in all ages, -0.09 (-0.15, -0.03; high) and in children, -0.12 (-0.20, -0.04; high). For PFHxS the summary associations were, for all antibodies treated as one type in all ages, -0.03 (-0.06, -0.00; moderate) and in children, -0.05 (-0.09, -0.00; low); and for Rubella in children, -0.07 (-0.11, -0.02; high). Summary associations for PFNA and PFDA did not have statistical support, but all PFAS studied tended to have an inverse association with antibody concentrations. Limitations and conclusions: Epidemiologic data on immunosuppression and five principal PFAS suggest an association, with support across antibodies against multiple types of antigens. Data on Diphtheria, Rubella, and Tetanus were more supportive of an association than for other antibodies, and support was greater for associations with PFOA, PFOS, and PFHxS, than for PFNA or PFDA. The data on any specific antibody were scarce. Confounding factors that might account for the relation were not identified. Nearly all studies evaluated were judged to have a low or moderate risk of bias.",,,,,,"Crawford, Lori/0000-0003-0972-4104; Skidmore, Becky/0000-0001-8293-9238",,,,,,,,,,,,,0160-4120,1873-6750,,,,FEB,2023,172,,,,,,,,107734,10.1016/j.envint.2023.107734,http://dx.doi.org/10.1016/j.envint.2023.107734,,FEB 2023,,,,,,36764183,,,,,WOS:000937315100001,View Full Record in Web of Science
